playerID,H,2B,3B,HR,RBI,R,BB,SO,GIDP,IBB,HBP,SB,CS,AB,PA,AVG,OBP,SLG,OPS,ISO,wOBA,wRAA,K%,BB%,K:BB,BABIP,,,,,,
abreubo01,60,13,1,4,26,28,30,49,6,2,1,4,1,243,278,0.247,0.332,0.358,0.690,0.111,0.313,0.6,17.63%,10.79%,1.63,0.295,,,,,,-23.2389998077
abreujo02,137,28,2,25,79,64,42,108,11,10,7,4,1,458,511,0.299,0.367,0.533,0.900,0.234,0.398,35.2,21.14%,8.22%,2.57,0.345,,,,,,335
abreuto01,51,12,2,5,25,26,14,44,6,1,2,2,2,199,217,0.256,0.312,0.412,0.724,0.156,0.319,1.6,20.28%,6.45%,3.14,0.307,,,,,,
ackledu01,115,23,3,11,51,61,41,95,7,3,2,8,3,468,514,0.246,0.309,0.378,0.687,0.132,0.307,-1.3,18.48%,7.98%,2.32,0.287,,,,,,
adamecr01,47,9,1,5,22,23,16,45,5,1,2,3,1,189,208,0.249,0.314,0.386,0.700,0.138,0.312,0.4,21.63%,7.69%,2.81,0.302,,,,,,
adamsda02,46,9,1,5,22,22,16,49,5,1,2,2,1,195,215,0.236,0.300,0.369,0.670,0.133,0.299,-1.8,22.79%,7.44%,3.06,0.291,,,,,,
adamsla01,46,9,1,5,22,24,16,43,4,1,2,3,1,182,202,0.253,0.320,0.396,0.716,0.143,0.319,1.4,21.29%,7.92%,2.69,0.306,,,,,,
adamsma01,134,29,3,17,68,59,32,116,11,3,2,3,2,475,513,0.282,0.330,0.463,0.793,0.181,0.348,15.3,22.61%,6.24%,3.63,0.342,,,,,,
adducji02,54,10,1,5,23,28,22,56,5,1,1,6,2,233,260,0.232,0.301,0.348,0.648,0.116,0.291,-3.8,21.54%,8.46%,2.55,0.285,,,,,,
adriaeh01,58,13,1,5,24,29,18,54,6,2,2,4,2,231,255,0.251,0.311,0.381,0.692,0.130,0.309,-0.2,21.18%,7.06%,3.00,0.308,,,,,,
aguilje01,47,9,1,5,23,23,19,49,5,1,2,3,1,197,219,0.239,0.312,0.371,0.682,0.132,0.306,-0.7,22.37%,8.68%,2.58,0.294,,,,,,
ahmedni01,53,10,1,5,23,28,17,46,5,1,2,3,2,216,238,0.245,0.306,0.370,0.677,0.125,0.302,-1.5,19.33%,7.14%,2.71,0.291,,,,,,
alcanar01,74,15,2,11,37,39,25,95,5,1,3,8,4,320,350,0.231,0.293,0.394,0.687,0.163,0.304,-1.7,27.14%,7.14%,3.80,0.294,,,,,,
allenbr01,46,9,1,6,23,24,17,42,4,1,2,4,1,180,200,0.256,0.327,0.417,0.743,0.161,0.330,3.1,21.00%,8.50%,2.47,0.303,,,,,,
almonab01,72,15,1,7,30,34,23,78,7,1,2,5,3,289,318,0.249,0.309,0.381,0.690,0.131,0.307,-0.8,24.53%,7.23%,3.39,0.319,,,,,,
almonzo01,51,9,1,5,23,24,16,49,5,1,1,5,1,210,229,0.243,0.300,0.367,0.666,0.124,0.297,-2.3,21.40%,6.99%,3.06,0.295,,,,,,
alonsyo01,91,21,1,8,42,36,33,60,9,4,2,5,1,344,382,0.265,0.332,0.401,0.734,0.137,0.329,5.6,15.71%,8.64%,1.82,0.301,,,,,,
altheaa01,46,9,1,5,22,23,16,43,4,1,2,3,1,183,203,0.251,0.318,0.393,0.712,0.142,0.317,1.1,21.18%,7.88%,2.69,0.304,,,,,,
altuvjo01,176,36,3,8,52,74,37,75,17,4,4,37,10,574,621,0.307,0.353,0.422,0.774,0.115,0.344,16.4,12.08%,5.96%,2.03,0.342,,,,,,
alvarpe01,105,19,1,23,70,55,45,136,12,5,2,5,1,436,484,0.241,0.315,0.447,0.762,0.206,0.337,10.4,28.10%,9.30%,3.02,0.296,,,,,,
amarial01,106,18,4,7,46,48,31,77,7,3,2,10,3,432,473,0.245,0.299,0.354,0.653,0.109,0.292,-6.6,16.28%,6.55%,2.48,0.284,,,,,,
anderbr05,45,10,1,5,22,23,16,43,5,1,2,4,1,182,202,0.247,0.315,0.396,0.711,0.148,0.316,1.0,21.29%,7.92%,2.69,0.299,,,,,,
anderla03,47,9,1,6,23,25,17,41,4,1,2,4,1,180,200,0.261,0.332,0.422,0.754,0.161,0.334,3.8,20.50%,8.50%,2.41,0.308,,,,,,
andinro01,43,8,1,4,18,21,18,48,6,1,1,3,2,187,209,0.230,0.301,0.348,0.649,0.118,0.292,-3.0,22.97%,8.61%,2.67,0.289,,,,,,
andruel01,150,26,3,4,53,75,47,94,17,1,4,26,10,548,612,0.274,0.336,0.354,0.690,0.080,0.310,-0.2,15.36%,7.68%,2.00,0.324,,,,,,
ankieri01,46,11,1,7,23,22,16,61,4,2,1,2,2,196,214,0.235,0.296,0.408,0.704,0.173,0.312,0.4,28.50%,7.48%,3.81,0.305,,,,,,
annade01,47,10,1,5,23,24,17,44,4,1,2,3,1,192,213,0.245,0.313,0.385,0.698,0.141,0.311,0.2,20.66%,7.98%,2.59,0.294,,,,,,
aokino01,136,23,4,6,42,66,43,53,7,1,8,18,8,483,542,0.282,0.350,0.383,0.733,0.101,0.328,7.7,9.78%,7.93%,1.23,0.307,,,,,,
arciaos01,100,20,3,18,57,49,34,130,7,3,5,3,2,404,443,0.248,0.314,0.446,0.759,0.198,0.335,8.6,29.35%,7.67%,3.82,0.320,,,,,,
arenano01,124,31,3,14,58,57,29,75,14,1,3,3,1,449,485,0.276,0.324,0.452,0.776,0.176,0.340,11.2,15.46%,5.98%,2.59,0.306,,,,,,
arencjp01,72,15,0,15,47,38,19,100,7,1,4,2,1,335,361,0.215,0.265,0.394,0.659,0.179,0.290,-5.5,27.70%,5.26%,5.26,0.259,,,,,,
ariasjo01,80,14,2,4,31,31,15,49,7,3,2,4,1,303,326,0.264,0.303,0.363,0.666,0.099,0.298,-3.2,15.03%,4.60%,3.27,0.304,,,,,,
arrueer01,50,10,1,5,24,25,18,52,5,1,2,3,1,201,223,0.249,0.317,0.383,0.700,0.134,0.312,0.4,23.32%,8.07%,2.89,0.313,,,,,,
ascheco01,100,23,1,11,49,47,36,102,7,4,2,3,1,395,435,0.253,0.319,0.400,0.719,0.147,0.321,3.7,23.45%,8.28%,2.83,0.316,,,,,,
averyxa01,46,10,1,5,21,25,18,42,4,1,1,6,2,179,200,0.257,0.328,0.408,0.736,0.151,0.327,2.7,21.00%,9.00%,2.33,0.311,,,,,,
avilaal01,95,22,1,12,53,49,58,133,10,1,3,2,2,403,466,0.236,0.336,0.385,0.721,0.149,0.324,5.0,28.54%,12.45%,2.29,0.322,,,,,,
avilemi01,98,19,1,9,47,48,20,60,9,0,2,11,5,392,426,0.250,0.290,0.372,0.662,0.122,0.292,-5.9,14.08%,4.69%,3.00,0.276,,,,,,
aybarer01,148,30,4,8,57,69,30,68,11,2,4,15,6,535,579,0.277,0.320,0.393,0.712,0.116,0.315,2.4,11.74%,5.18%,2.27,0.305,,,,,,
baezja01,63,12,1,10,32,36,24,100,7,1,2,6,2,288,315,0.219,0.283,0.372,0.655,0.153,0.291,-4.6,31.75%,7.62%,4.17,0.298,,,,,,
bakerje03,78,16,2,9,39,37,24,75,9,2,2,4,1,300,330,0.260,0.319,0.417,0.736,0.157,0.326,4.1,22.73%,7.27%,3.13,0.319,,,,,,
bakerjo01,62,12,1,3,26,24,28,70,7,3,2,3,1,275,309,0.225,0.302,0.309,0.611,0.084,0.280,-7.2,22.65%,9.06%,2.50,0.292,,,,,,
bantzbr01,46,9,1,5,22,23,17,40,4,1,2,3,1,180,200,0.256,0.327,0.400,0.727,0.144,0.324,2.2,20.00%,8.50%,2.35,0.304,,,,,,
barajro01,41,8,1,6,19,20,16,38,3,2,3,2,1,179,200,0.229,0.303,0.385,0.689,0.156,0.309,-0.2,19.00%,8.00%,2.38,0.259,,,,,,
barmecl01,61,12,1,5,25,25,16,58,5,2,4,2,1,265,291,0.230,0.284,0.340,0.624,0.109,0.280,-6.8,19.93%,5.50%,3.63,0.277,,,,,,
barnebr02,92,18,2,9,38,45,23,112,9,1,4,8,6,368,401,0.250,0.301,0.383,0.684,0.133,0.303,-2.1,27.93%,5.74%,4.87,0.336,,,,,,
barneda01,84,18,2,6,33,41,26,51,9,2,4,4,1,352,386,0.239,0.298,0.352,0.651,0.114,0.292,-5.6,13.21%,6.74%,1.96,0.264,,,,,,
barnhtu01,51,9,1,5,21,24,18,46,4,2,2,3,1,207,230,0.246,0.313,0.372,0.685,0.126,0.308,-0.4,20.00%,7.83%,2.56,0.295,,,,,,
bartlja01,42,9,1,4,19,24,18,43,6,1,2,3,1,179,202,0.235,0.312,0.363,0.675,0.128,0.303,-1.1,21.29%,8.91%,2.39,0.288,,,,,,
bartoda02,52,9,1,5,25,26,25,49,3,1,2,2,1,215,244,0.242,0.326,0.363,0.689,0.121,0.311,0.2,20.08%,10.25%,1.96,0.292,,,,,,
bautijo02,132,24,0,29,84,86,79,93,15,6,6,7,2,498,589,0.265,0.372,0.488,0.860,0.223,0.381,32.8,15.79%,13.41%,1.18,0.274,,,,,,
baxtemi01,46,11,1,4,18,25,22,44,3,2,4,5,2,192,220,0.240,0.330,0.370,0.700,0.130,0.317,1.3,20.00%,10.00%,2.00,0.292,,,,,,
bayja01,44,7,0,8,22,25,20,52,5,1,1,4,1,200,224,0.220,0.294,0.375,0.669,0.155,0.299,-1.9,23.21%,8.93%,2.60,0.257,,,,,,
beckhgo01,108,25,1,10,45,55,31,81,13,2,6,5,2,439,482,0.246,0.305,0.376,0.680,0.130,0.303,-2.5,16.80%,6.43%,2.61,0.282,,,,,,
beckhti01,48,9,1,5,23,24,17,40,4,1,2,3,1,181,201,0.265,0.335,0.409,0.744,0.144,0.331,3.3,19.90%,8.46%,2.35,0.316,,,,,,
belljo01,45,9,1,6,22,23,17,42,5,2,1,3,1,180,200,0.250,0.318,0.411,0.729,0.161,0.325,2.4,21.00%,8.50%,2.47,0.295,,,,,,
belnovi01,46,10,1,5,22,23,18,43,4,2,2,3,1,185,207,0.249,0.322,0.395,0.717,0.146,0.321,1.8,20.77%,8.70%,2.39,0.299,,,,,,
beltbr01,91,21,2,11,45,47,36,88,4,3,3,6,2,334,375,0.272,0.349,0.446,0.795,0.174,0.352,12.4,23.47%,9.60%,2.44,0.340,,,,,,
beltrad01,162,28,1,22,75,74,43,74,12,9,4,2,1,523,576,0.310,0.367,0.493,0.860,0.184,0.382,32.4,12.85%,7.47%,1.72,0.328,,,,,,
beltrca01,115,23,1,18,62,57,39,84,9,4,2,5,2,438,485,0.263,0.326,0.443,0.769,0.180,0.340,11.4,17.32%,8.04%,2.15,0.289,,,,,,
beltren01,48,9,1,5,21,25,15,40,4,1,2,3,2,185,204,0.259,0.322,0.400,0.722,0.141,0.321,1.8,19.61%,7.35%,2.67,0.307,,,,,,
berkmla01,50,10,1,5,24,24,24,42,5,2,1,2,1,202,229,0.248,0.330,0.381,0.712,0.134,0.321,1.9,18.34%,10.48%,1.75,0.290,,,,,,
bernaro01,55,11,1,5,24,27,24,59,4,2,4,7,2,235,265,0.234,0.316,0.353,0.669,0.119,0.303,-1.4,22.26%,9.06%,2.46,0.292,,,,,,
bernido01,47,9,1,4,21,25,18,42,4,1,2,4,1,187,211,0.251,0.324,0.374,0.698,0.123,0.313,0.5,19.91%,8.53%,2.33,0.305,,,,,,
berryqu01,47,8,2,4,22,28,16,45,3,1,3,9,1,180,202,0.261,0.332,0.394,0.726,0.133,0.324,2.2,22.28%,7.92%,2.81,0.328,,,,,,
betanyu01,52,11,1,7,29,24,13,41,6,1,1,1,1,225,241,0.231,0.276,0.382,0.658,0.151,0.291,-3.7,17.01%,5.39%,3.15,0.254,,,,,,
betemwi01,46,10,1,6,22,23,16,47,4,1,1,2,1,182,201,0.253,0.317,0.418,0.734,0.165,0.325,2.3,23.38%,7.96%,2.94,0.310,,,,,,
bethach01,61,11,1,4,26,26,17,57,6,1,2,4,2,239,259,0.255,0.310,0.360,0.670,0.105,0.300,-2.1,22.01%,6.56%,3.35,0.320,,,,,,
bettsmo01,76,16,1,8,31,43,28,57,5,1,3,8,3,275,307,0.276,0.350,0.429,0.779,0.153,0.345,8.5,18.57%,9.12%,2.04,0.324,,,,,,
biancje01,57,10,1,4,28,26,16,52,5,1,1,3,2,241,262,0.237,0.287,0.336,0.623,0.100,0.279,-6.4,19.85%,6.11%,3.25,0.286,,,,,,
bixlebr01,45,10,1,5,21,24,16,46,3,1,1,4,1,180,200,0.250,0.315,0.400,0.715,0.150,0.317,1.2,23.00%,8.00%,2.88,0.310,,,,,,
blackch02,145,27,3,15,59,71,29,94,6,3,9,18,6,506,550,0.287,0.336,0.441,0.777,0.154,0.343,14.3,17.09%,5.27%,3.24,0.327,,,,,,
blancan01,53,12,1,5,22,24,16,42,7,2,2,3,1,204,227,0.260,0.320,0.402,0.722,0.142,0.322,2.1,18.50%,7.05%,2.63,0.306,,,,,,
blancgr01,108,18,5,6,41,54,47,93,6,2,2,16,6,418,473,0.258,0.336,0.368,0.705,0.110,0.317,2.5,19.66%,9.94%,1.98,0.320,,,,,,
blanche01,42,9,1,5,21,20,17,44,5,1,1,2,1,194,215,0.216,0.283,0.351,0.634,0.134,0.284,-4.4,20.47%,7.91%,2.59,0.255,,,,,,
blankky01,61,11,1,7,30,30,22,64,5,1,4,2,1,237,264,0.257,0.331,0.401,0.732,0.143,0.326,3.4,24.24%,8.33%,2.91,0.325,,,,,,
bloomwi01,75,13,2,3,26,33,15,48,5,1,1,4,4,266,285,0.282,0.323,0.380,0.702,0.098,0.312,0.4,16.84%,5.26%,3.20,0.335,,,,,,
blumge01,44,8,1,5,20,21,15,37,4,1,1,3,1,180,200,0.244,0.306,0.383,0.689,0.139,0.307,-0.5,18.50%,7.50%,2.47,0.283,,,,,,
boescbr01,55,11,1,7,27,26,15,51,5,1,2,4,1,227,245,0.242,0.295,0.392,0.687,0.150,0.304,-1.1,20.82%,6.12%,3.40,0.284,,,,,,
bogaexa01,113,25,1,11,46,56,38,120,10,1,6,4,3,453,502,0.249,0.316,0.382,0.698,0.132,0.311,0.4,23.90%,7.57%,3.16,0.317,,,,,,
bogusbr01,46,8,1,6,20,24,19,48,4,1,2,5,1,193,216,0.238,0.313,0.383,0.697,0.145,0.311,0.2,22.22%,8.80%,2.53,0.288,,,,,,
bonifem01,106,18,4,5,32,53,33,96,5,2,2,27,7,418,459,0.254,0.311,0.352,0.663,0.098,0.297,-4.7,20.92%,7.19%,2.91,0.319,,,,,,
borboju01,46,9,1,5,19,23,19,42,3,1,1,6,1,190,212,0.242,0.314,0.379,0.693,0.137,0.310,0.0,19.81%,8.96%,2.21,0.287,,,,,,
boscajc01,46,9,1,5,22,22,15,38,4,1,2,3,1,181,201,0.254,0.318,0.398,0.716,0.144,0.319,1.3,18.91%,7.46%,2.53,0.297,,,,,,
