playerID,H,2B,3B,HR,RBI,R,BB,SO,GIDP,IBB,HBP,SB,CS,AB,PA,AVG,OBP,SLG,OPS,ISO,wOBA,wRAA,K%,BB%,K:BB,BABIP
abreubo01,129,28,2,9,57,60,64,107,13,3,2,9,3,525,600,0.246,0.330,0.358,0.688,0.112,0.311,0,17.83%,10.67%,1.67,0.293
abreujo02,161,33,2,29,93,75,50,127,13,11,9,5,2,538,600,0.299,0.369,0.530,0.898,0.230,0.397,41,21.17%,8.33%,2.54,0.346
abreuto01,142,32,6,13,70,71,39,122,16,3,5,6,4,550,600,0.258,0.313,0.409,0.722,0.151,0.319,4,20.33%,6.50%,3.13,0.311
ackledu01,134,27,3,12,60,71,48,111,9,3,2,9,4,547,600,0.245,0.308,0.371,0.679,0.126,0.303,-3,18.50%,8.00%,2.31,0.288
adamecr01,135,27,3,14,62,68,47,130,14,3,5,9,3,544,600,0.248,0.314,0.386,0.700,0.138,0.312,1,21.67%,7.83%,2.77,0.303
adamsda02,130,26,3,14,62,60,46,138,14,2,6,6,2,544,600,0.239,0.305,0.375,0.680,0.136,0.303,-3,23.00%,7.67%,3.00,0.296
adamsla01,138,28,3,14,64,70,48,127,12,3,5,10,4,542,600,0.255,0.321,0.395,0.716,0.140,0.319,4,21.17%,8.00%,2.65,0.309
adamsma01,156,34,3,20,80,70,38,135,13,4,3,4,2,556,600,0.281,0.330,0.460,0.790,0.180,0.347,18,22.50%,6.33%,3.55,0.339
adducji02,125,24,2,11,54,66,50,130,11,2,3,13,4,539,600,0.232,0.301,0.345,0.646,0.113,0.290,-9,21.67%,8.33%,2.60,0.286
adriaeh01,137,30,2,11,57,67,43,127,13,4,5,8,4,543,600,0.252,0.313,0.376,0.689,0.123,0.308,-1,21.17%,7.17%,2.95,0.311
aguilje01,130,25,2,13,63,64,51,135,13,3,5,8,3,539,600,0.241,0.313,0.367,0.680,0.126,0.305,-2,22.50%,8.50%,2.65,0.299
ahmedni01,134,26,2,13,58,70,43,115,13,3,4,8,5,545,600,0.246,0.306,0.372,0.678,0.127,0.303,-3,19.17%,7.17%,2.67,0.290
alcanar01,127,26,3,18,63,67,42,163,9,2,5,14,7,549,600,0.231,0.292,0.388,0.680,0.157,0.301,-4,27.17%,7.00%,3.88,0.296
allenbr01,137,27,3,18,70,73,51,127,12,4,5,11,4,540,600,0.254,0.324,0.415,0.739,0.161,0.328,9,21.17%,8.50%,2.49,0.301
almonab01,136,29,2,12,57,64,43,147,14,2,4,10,5,545,600,0.250,0.309,0.376,0.685,0.127,0.305,-2,24.50%,7.17%,3.42,0.321
almonzo01,134,24,2,13,61,62,41,129,13,2,3,12,4,551,600,0.243,0.299,0.365,0.664,0.122,0.296,-7,21.50%,6.83%,3.15,0.296
alonsyo01,144,32,1,12,65,57,52,94,15,6,3,8,1,540,600,0.267,0.334,0.396,0.731,0.130,0.328,8,15.67%,8.67%,1.81,0.304
altheaa01,137,28,3,14,64,68,48,127,12,3,5,10,4,542,600,0.253,0.319,0.393,0.712,0.140,0.317,3,21.17%,8.00%,2.65,0.307
altuvjo01,170,35,3,7,50,72,36,73,16,4,4,36,9,555,600,0.306,0.353,0.418,0.771,0.112,0.342,15,12.17%,6.00%,2.03,0.343
alvarpe01,130,23,2,29,86,68,56,169,14,7,3,6,2,540,600,0.241,0.316,0.452,0.767,0.211,0.340,14,28.17%,9.33%,3.02,0.295
amarial01,134,23,5,10,58,60,40,98,9,4,2,12,3,548,600,0.245,0.298,0.359,0.658,0.115,0.294,-8,16.33%,6.67%,2.45,0.282
anderbr05,134,29,2,15,65,69,49,126,14,3,6,11,3,541,600,0.248,0.317,0.392,0.709,0.144,0.316,3,21.00%,8.17%,2.57,0.298
anderla03,140,28,3,17,69,74,51,124,12,4,5,11,4,540,600,0.259,0.329,0.417,0.746,0.157,0.331,10,20.67%,8.50%,2.43,0.308
andinro01,123,24,2,12,51,61,51,138,16,2,3,8,5,537,600,0.229,0.299,0.348,0.648,0.119,0.291,-9,23.00%,8.50%,2.71,0.287
andruel01,147,26,3,4,52,73,47,92,16,1,4,25,9,537,600,0.274,0.337,0.356,0.692,0.082,0.311,0,15.33%,7.83%,1.96,0.324
ankieri01,128,30,4,20,65,62,44,170,10,4,3,6,5,549,600,0.233,0.294,0.412,0.705,0.179,0.312,1,28.33%,7.33%,3.86,0.301
annade01,133,27,3,15,65,68,48,124,11,3,5,9,3,540,600,0.246,0.314,0.391,0.704,0.144,0.314,2,20.67%,8.00%,2.58,0.294
aokino01,150,26,4,7,46,73,47,59,7,1,8,20,8,534,600,0.281,0.348,0.384,0.732,0.103,0.327,8,9.83%,7.83%,1.26,0.306
arciaos01,135,27,4,24,77,66,46,176,9,4,7,4,3,547,600,0.247,0.313,0.442,0.756,0.196,0.333,11,29.33%,7.67%,3.83,0.320
arenano01,154,38,3,18,72,70,36,93,17,2,4,4,1,556,600,0.277,0.326,0.453,0.779,0.176,0.341,15,15.50%,6.00%,2.58,0.306
arencjp01,120,25,1,25,79,63,31,166,11,1,7,3,2,557,600,0.215,0.266,0.399,0.664,0.183,0.292,-9,27.67%,5.17%,5.35,0.260
ariasjo01,147,26,4,8,56,56,28,90,12,5,4,7,2,557,600,0.264,0.304,0.368,0.672,0.104,0.300,-5,15.00%,4.67%,3.21,0.303
arrueer01,135,26,2,12,64,67,48,140,13,3,5,8,3,542,600,0.249,0.316,0.371,0.687,0.122,0.308,-1,23.33%,8.00%,2.92,0.315
ascheco01,138,32,1,15,68,65,49,141,9,6,2,4,2,545,600,0.253,0.317,0.398,0.715,0.145,0.320,5,23.50%,8.17%,2.88,0.316
averyxa01,137,31,4,15,64,76,55,126,13,3,4,17,7,537,600,0.255,0.329,0.412,0.740,0.156,0.329,9,21.00%,9.17%,2.29,0.308
avilaal01,122,28,2,15,68,63,75,171,13,2,3,3,2,519,600,0.235,0.335,0.383,0.718,0.148,0.323,6,28.50%,12.50%,2.28,0.321
avilemi01,138,27,1,12,66,68,28,84,13,1,3,15,7,552,600,0.250,0.290,0.368,0.658,0.118,0.291,-9,14.00%,4.67%,3.00,0.276
aybarer01,153,31,4,8,59,72,32,71,12,2,4,15,7,554,600,0.276,0.320,0.390,0.710,0.114,0.315,2,11.83%,5.33%,2.22,0.305
baezja01,120,23,2,19,61,70,46,190,13,2,4,12,3,549,600,0.219,0.284,0.372,0.655,0.153,0.292,-9,31.67%,7.67%,4.13,0.297
bakerje03,141,29,4,17,70,67,44,136,17,3,4,7,2,546,600,0.258,0.318,0.419,0.738,0.161,0.326,8,22.67%,7.33%,3.09,0.316
bakerjo01,121,22,1,6,50,46,53,135,13,5,4,5,2,534,600,0.227,0.301,0.305,0.606,0.079,0.278,-15,22.50%,8.83%,2.55,0.293
bantzbr01,139,28,2,16,66,69,50,121,13,4,5,9,3,540,600,0.257,0.326,0.406,0.732,0.148,0.326,8,20.17%,8.33%,2.42,0.305
barajro01,124,23,2,17,58,59,48,113,9,6,8,6,2,537,600,0.231,0.304,0.376,0.680,0.145,0.306,-2,18.83%,8.00%,2.35,0.263
barmecl01,127,24,1,10,51,52,34,119,11,5,8,3,2,546,600,0.233,0.287,0.335,0.623,0.103,0.281,-14,19.83%,5.67%,3.50,0.281
barnebr02,137,27,4,13,57,67,35,168,13,1,5,11,9,551,600,0.249,0.299,0.383,0.682,0.134,0.302,-4,28.00%,5.83%,4.80,0.335
barneda01,130,27,3,9,52,64,40,80,14,4,6,6,2,547,600,0.238,0.297,0.347,0.644,0.110,0.289,-10,13.33%,6.67%,2.00,0.264
barnhtu01,133,23,2,14,55,62,48,121,10,5,4,8,3,541,600,0.246,0.312,0.373,0.685,0.128,0.308,-1,20.17%,8.00%,2.52,0.293
bartlja01,123,28,2,13,57,70,53,128,16,3,5,9,3,532,600,0.231,0.307,0.365,0.671,0.133,0.301,-4,21.33%,8.83%,2.42,0.281
